2021-06-28 08:34:38,093 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '9b303415-aca7-5fb9-a43a-6d46276d55fa', 'date': 'Mon, 28 Jun 2021 08:34:38 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:34:58,126 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '6821ce71-62c2-59af-853d-9722e91c50b8', 'date': 'Mon, 28 Jun 2021 08:34:58 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:35:18,156 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': 'c476bc04-327f-5695-af47-e557b98d4483', 'date': 'Mon, 28 Jun 2021 08:35:18 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:35:38,185 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '95228b9c-d8f3-5e42-832d-d2cf54f531da', 'date': 'Mon, 28 Jun 2021 08:35:38 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:35:58,224 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': 'da2a9148-dec5-5794-b968-c81b52df9a1d', 'date': 'Mon, 28 Jun 2021 08:35:58 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:36:18,250 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '136f0b2d-080d-5150-98e0-527e84238f3d', 'date': 'Mon, 28 Jun 2021 08:36:18 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:36:38,279 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': 'e1d3d493-62d8-51e2-a8fe-8dc0ee9a6c9d', 'date': 'Mon, 28 Jun 2021 08:36:38 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:36:58,306 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '3ceb5fe2-f66a-57aa-9fa7-06b17a3cac5d', 'date': 'Mon, 28 Jun 2021 08:36:58 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:37:18,333 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': 'bff6b3c4-e390-5581-87ca-ea976ffabcbe', 'date': 'Mon, 28 Jun 2021 08:37:18 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:37:38,358 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': 'e7132ae7-3fda-5f87-8d70-73b4b3a49c4d', 'date': 'Mon, 28 Jun 2021 08:37:38 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
2021-06-28 08:37:58,382 [DEBUG] Response: 200 https://sqs.us-east-1.amazonaws.com/668920780829/e93e27a997f14cb264cc217dfd41f65a4900398815fa3ceee5153ea8c2ac1261/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-requestid': '8d1bdbad-4030-504b-94c5-82fecca23fec', 'date': 'Mon, 28 Jun 2021 08:37:58 GMT', 'content-type': 'text/xml', 'content-length': '240'}]
